area,area_title,area_type,naics,naics_title,occ code,occ title,tot_emp,a_median
99,U.S.,1,611300,"Colleges, Universities, and Professional Schools",252022,"Middle School Teachers, Except Special and Career/Technical Education",240,"48,220"
99,U.S.,1,611300,"Colleges, Universities, and Professional Schools",252022,"Middle School Teachers, Except Special and Career/Technical Education",150,"44,440"
99,U.S.,1,611300,"Colleges, Universities, and Professional Schools",252022,"Middle School Teachers, Except Special and Career/Technical Education",80,"56,640"
99,U.S.,1,611300,"Colleges, Universities, and Professional Schools",252031,"Secondary School Teachers, Except Special and Career/Technical Education",1980,"50,560"
99,U.S.,1,611300,"Colleges, Universities, and Professional Schools",252031,"Secondary School Teachers, Except Special and Career/Technical Education",1510,"51,150"
99,U.S.,1,611300,"Colleges, Universities, and Professional Schools",252031,"Secondary School Teachers, Except Special and Career/Technical Education",70,"68,630"
99,U.S.,1,611300,"Colleges, Universities, and Professional Schools",252031,"Secondary School Teachers, Except Special and Career/Technical Education",410,"47,780"
99,U.S.,1,611600,Other Schools and Instruction,252021,"Elementary School Teachers, Except Special Education",470,"35,100"
99,U.S.,1,611600,Other Schools and Instruction,252021,"Elementary School Teachers, Except Special Education",470,"35,100"
99,U.S.,1,611600,Other Schools and Instruction,252022,"Middle School Teachers, Except Special and Career/Technical Education",70,"59,570"
99,U.S.,1,611600,Other Schools and Instruction,252022,"Middle School Teachers, Except Special and Career/Technical Education",60,"60,260"
99,U.S.,1,611600,Other Schools and Instruction,252031,"Secondary School Teachers, Except Special and Career/Technical Education",250,"40,850"
99,U.S.,1,611600,Other Schools and Instruction,252031,"Secondary School Teachers, Except Special and Career/Technical Education",250,"40,850"
99,U.S.,1,611700,Educational Support Services,252021,"Elementary School Teachers, Except Special Education",420,"49,560"
99,U.S.,1,611700,Educational Support Services,252021,"Elementary School Teachers, Except Special Education",290,"46,560"
99,U.S.,1,611700,Educational Support Services,252021,"Elementary School Teachers, Except Special Education",130,"59,010"
99,U.S.,1,611700,Educational Support Services,252022,"Middle School Teachers, Except Special and Career/Technical Education",1,"47,690"
99,U.S.,1,611700,Educational Support Services,252022,"Middle School Teachers, Except Special and Career/Technical Education",1,"48,120"
99,U.S.,1,611700,Educational Support Services,252031,"Secondary School Teachers, Except Special and Career/Technical Education",950,"49,620"
99,U.S.,1,611700,Educational Support Services,252031,"Secondary School Teachers, Except Special and Career/Technical Education",500,"48,090"
99,U.S.,1,611700,Educational Support Services,252031,"Secondary School Teachers, Except Special and Career/Technical Education",450,"52,340"
99,U.S.,1,622000,Hospitals,252021,"Elementary School Teachers, Except Special Education",50,"56,460"
99,U.S.,1,622000,"Hospitals, Privately owned",252021,"Elementary School Teachers, Except Special Education",40,"54,030"
99,U.S.,1,622000,Hospitals,252031,"Secondary School Teachers, Except Special and Career/Technical Education",120,"56,450"
99,U.S.,1,622000,"Hospitals, Privately owned",252031,"Secondary School Teachers, Except Special and Career/Technical Education",80,"53,850"
99,U.S.,1,622000,"Hospitals, State government owned",252031,"Secondary School Teachers, Except Special and Career/Technical Education",40,"61,610"
99,U.S.,1,622200,Psychiatric and Substance Abuse Hospitals,252031,"Secondary School Teachers, Except Special and Career/Technical Education",90,"56,610"
99,U.S.,1,622200,Psychiatric and Substance Abuse Hospitals,252031,"Secondary School Teachers, Except Special and Career/Technical Education",50,"51,290"
99,U.S.,1,622200,Psychiatric and Substance Abuse Hospitals,252031,"Secondary School Teachers, Except Special and Career/Technical Education",40,"62,230"
99,U.S.,1,623000,Nursing and Residential Care Facilities,252021,"Elementary School Teachers, Except Special Education",50,"37,600"
99,U.S.,1,623000,Nursing and Residential Care Facilities,252022,"Middle School Teachers, Except Special and Career/Technical Education",70,"43,990"
99,U.S.,1,623000,Nursing and Residential Care Facilities,252031,"Secondary School Teachers, Except Special and Career/Technical Education",620,"43,300"
99,U.S.,1,623200,"Residential Intellectual and Developmental Disability, Mental Health, and Substance Abuse Facilities",252031,"Secondary School Teachers, Except Special and Career/Technical Education",170,"42,300"
99,U.S.,1,623220,Residential Mental Health and Substance Abuse Facilities,252031,"Secondary School Teachers, Except Special and Career/Technical Education",150,"41,630"
99,U.S.,1,623900,Other Residential Care Facilities,252021,"Elementary School Teachers, Except Special Education",50,"37,600"
99,U.S.,1,623900,Other Residential Care Facilities,252022,"Middle School Teachers, Except Special and Career/Technical Education",70,"43,990"
99,U.S.,1,623900,Other Residential Care Facilities,252031,"Secondary School Teachers, Except Special and Career/Technical Education",450,"43,840"
99,U.S.,1,624000,Social Assistance,252021,"Elementary School Teachers, Except Special Education",950,"36,690"
99,U.S.,1,624000,Social Assistance,252022,"Middle School Teachers, Except Special and Career/Technical Education",300,"50,580"
99,U.S.,1,624000,Social Assistance,252031,"Secondary School Teachers, Except Special and Career/Technical Education",660,"46,920"
99,U.S.,1,624100,Individual and Family Services,252021,"Elementary School Teachers, Except Special Education",210,"43,950"
99,U.S.,1,624100,Individual and Family Services,252022,"Middle School Teachers, Except Special and Career/Technical Education",290,"51,160"
99,U.S.,1,624100,Individual and Family Services,252031,"Secondary School Teachers, Except Special and Career/Technical Education",400,"50,110"
99,U.S.,1,624300,Vocational Rehabilitation Services,252031,"Secondary School Teachers, Except Special and Career/Technical Education",240,"43,530"
99,U.S.,1,624400,Child Day Care Services,252021,"Elementary School Teachers, Except Special Education",700,"34,400"
99,U.S.,1,813000,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",252021,"Elementary School Teachers, Except Special Education",2550,"43,670"
99,U.S.,1,813000,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",252022,"Middle School Teachers, Except Special and Career/Technical Education",410,"53,310"
99,U.S.,1,813000,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",252031,"Secondary School Teachers, Except Special and Career/Technical Education",1180,"63,270"
99,U.S.,1,813100,Religious Organizations,252021,"Elementary School Teachers, Except Special Education",2350,"43,380"
99,U.S.,1,813100,Religious Organizations,252022,"Middle School Teachers, Except Special and Career/Technical Education",410,"53,310"
99,U.S.,1,813100,Religious Organizations,252031,"Secondary School Teachers, Except Special and Career/Technical Education",780,"64,450"
99,U.S.,1,813300,Social Advocacy Organizations,252021,"Elementary School Teachers, Except Special Education",100,"42,130"
99,U.S.,1,999000,"Federal, State, and Local Government, excluding state and local schools and hospitals, and the US Postal Service (OES Designation)",252021,"Elementary School Teachers, Except Special Education",600,"53,110"
99,U.S.,1,999000,"Federal, State, and Local Government, excluding state and local schools and hospitals, and the US Postal Service (OES Designation)",252022,"Middle School Teachers, Except Special and Career/Technical Education",100,"58,940"
99,U.S.,1,999001,"Federal, state, and local government, including government owned schools and hospitals, and the US Postal Service",252021,"Elementary School Teachers, Except Special Education",1232240,"56,070"
99,U.S.,1,999001,"Federal, state, and local government, including government owned schools and hospitals, and the US Postal Service",252022,"Middle School Teachers, Except Special and Career/Technical Education",563720,"56,710"
99,U.S.,1,999001,"Federal, state, and local government, including government owned schools and hospitals, and the US Postal Service",252031,"Secondary School Teachers, Except Special and Career/Technical Education",847520,"57,940"
99,U.S.,1,999200,State Government (OES Designation),252031,"Secondary School Teachers, Except Special and Career/Technical Education",910,"49,190"
99,U.S.,1,999201,"State government, including schools and hospitals",252021,"Elementary School Teachers, Except Special Education",10210,"56,040"
99,U.S.,1,999201,"State government, including schools and hospitals",252022,"Middle School Teachers, Except Special and Career/Technical Education",2300,"56,040"
99,U.S.,1,999201,"State government, including schools and hospitals",252031,"Secondary School Teachers, Except Special and Career/Technical Education",7520,"54,870"
99,U.S.,1,999300,Local Government (OES Designation),252021,"Elementary School Teachers, Except Special Education",580,"52,480"
99,U.S.,1,999300,Local Government (OES Designation),252022,"Middle School Teachers, Except Special and Career/Technical Education",100,"58,940"
99,U.S.,1,999301,"Local government, including schools and hospitals",252021,"Elementary School Teachers, Except Special Education",1222030,"56,070"
99,U.S.,1,999301,"Local government, including schools and hospitals",252022,"Middle School Teachers, Except Special and Career/Technical Education",561420,"56,710"
99,U.S.,1,999301,"Local government, including schools and hospitals",252031,"Secondary School Teachers, Except Special and Career/Technical Education",840000,"57,970"
1,Alabama,2,000000,Cross-industry,252021,"Elementary School Teachers, Except Special Education",23800,"50,390"
1,Alabama,2,000000,Cross-industry,252022,"Middle School Teachers, Except Special and Career/Technical Education",9850,"48,800"
1,Alabama,2,000000,Cross-industry,252031,"Secondary School Teachers, Except Special and Career/Technical Education",12720,"49,980"
2,Alaska,2,000000,Cross-industry,252021,"Elementary School Teachers, Except Special Education",2950,"71,490"
2,Alaska,2,000000,Cross-industry,252022,"Middle School Teachers, Except Special and Career/Technical Education",1370,"81,690"
2,Alaska,2,000000,Cross-industry,252031,"Secondary School Teachers, Except Special and Career/Technical Education",2290,"78,890"
4,Arizona,2,000000,Cross-industry,252021,"Elementary School Teachers, Except Special Education",23560,"39,300"
4,Arizona,2,000000,Cross-industry,252022,"Middle School Teachers, Except Special and Career/Technical Education",9560,"41,200"
4,Arizona,2,000000,Cross-industry,252031,"Secondary School Teachers, Except Special and Career/Technical Education",14710,"44,970"
5,Arkansas,2,000000,Cross-industry,252021,"Elementary School Teachers, Except Special Education",11690,"44,570"
5,Arkansas,2,000000,Cross-industry,252022,"Middle School Teachers, Except Special and Career/Technical Education",6120,"46,540"
5,Arkansas,2,000000,Cross-industry,252031,"Secondary School Teachers, Except Special and Career/Technical Education",10080,"47,250"
6,California,2,000000,Cross-industry,252021,"Elementary School Teachers, Except Special Education",138890,"72,910"
6,California,2,000000,Cross-industry,252022,"Middle School Teachers, Except Special and Career/Technical Education",49750,"69,150"
6,California,2,000000,Cross-industry,252031,"Secondary School Teachers, Except Special and Career/Technical Education",97260,"74,760"
8,Colorado,2,000000,Cross-industry,252021,"Elementary School Teachers, Except Special Education",25960,"48,130"
8,Colorado,2,000000,Cross-industry,252022,"Middle School Teachers, Except Special and Career/Technical Education",12840,"48,490"
8,Colorado,2,000000,Cross-industry,252031,"Secondary School Teachers, Except Special and Career/Technical Education",16380,"50,000"
9,Connecticut,2,000000,Cross-industry,252021,"Elementary School Teachers, Except Special Education",18110,"75,930"
9,Connecticut,2,000000,Cross-industry,252022,"Middle School Teachers, Except Special and Career/Technical Education",9770,"77,520"
9,Connecticut,2,000000,Cross-industry,252031,"Secondary School Teachers, Except Special and Career/Technical Education",14060,"75,330"
10,Delaware,2,000000,Cross-industry,252021,"Elementary School Teachers, Except Special Education",4360,"58,860"
10,Delaware,2,000000,Cross-industry,252022,"Middle School Teachers, Except Special and Career/Technical Education",2650,"58,760"
10,Delaware,2,000000,Cross-industry,252031,"Secondary School Teachers, Except Special and Career/Technical Education",2590,"57,610"
11,District of Columbia,2,000000,Cross-industry,252021,"Elementary School Teachers, Except Special Education",3140,"67,090"
11,District of Columbia,2,000000,Cross-industry,252022,"Middle School Teachers, Except Special and Career/Technical Education",1730,"68,320"
11,District of Columbia,2,000000,Cross-industry,252031,"Secondary School Teachers, Except Special and Career/Technical Education",2340,"60,050"
12,Florida,2,000000,Cross-industry,252021,"Elementary School Teachers, Except Special Education",71620,"46,060"
12,Florida,2,000000,Cross-industry,252022,"Middle School Teachers, Except Special and Career/Technical Education",32090,"46,350"
12,Florida,2,000000,Cross-industry,252031,"Secondary School Teachers, Except Special and Career/Technical Education",44020,"47,950"
13,Georgia,2,000000,Cross-industry,252021,"Elementary School Teachers, Except Special Education",50670,"53,790"
13,Georgia,2,000000,Cross-industry,252022,"Middle School Teachers, Except Special and Career/Technical Education",25120,"54,030"
13,Georgia,2,000000,Cross-industry,252031,"Secondary School Teachers, Except Special and Career/Technical Education",23780,"54,810"
15,Hawaii,2,000000,Cross-industry,252021,"Elementary School Teachers, Except Special Education",5940,"56,020"
15,Hawaii,2,000000,Cross-industry,252022,"Middle School Teachers, Except Special and Career/Technical Education",1930,"56,820"
