area,area_title,area_type,naics,naics_title,occ code,occ title,tot_emp,a_median
99,U.S.,1,611600,Other Schools and Instruction,25-2032,"Career/Technical Education Teachers, Secondary School",40,55440
99,U.S.,1,611600,Other Schools and Instruction,25-2052,"Special Education Teachers, Kindergarten and Elementary School",50,40230
99,U.S.,1,611600,Other Schools and Instruction,25-2054,"Special Education Teachers, Secondary School",110,38940
99,U.S.,1,611600,Other Schools and Instruction,25-2054,"Special Education Teachers, Secondary School",90,42390
99,U.S.,1,611700,Educational Support Services,25-2011,"Preschool Teachers, Except Special Education",560,44350
99,U.S.,1,611700,Educational Support Services,25-2021,"Elementary School Teachers, Except Special Education",290,46560
99,U.S.,1,611700,Educational Support Services,25-2021,"Elementary School Teachers, Except Special Education",130,59010
99,U.S.,1,611700,Educational Support Services,25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",950,49620
99,U.S.,1,611700,Educational Support Services,25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",450,52340
99,U.S.,1,611700,Educational Support Services,25-2032,"Career/Technical Education Teachers, Secondary School",30,61370
99,U.S.,1,611700,Educational Support Services,25-2051,"Special Education Teachers, Preschool",470,55160
99,U.S.,1,611700,Educational Support Services,25-2051,"Special Education Teachers, Preschool",440,55260
99,U.S.,1,611700,Educational Support Services,25-2052,"Special Education Teachers, Kindergarten and Elementary School",580,51770
99,U.S.,1,611700,Educational Support Services,25-2052,"Special Education Teachers, Kindergarten and Elementary School",100,58450
99,U.S.,1,611700,Educational Support Services,25-2052,"Special Education Teachers, Kindergarten and Elementary School",480,49650
99,U.S.,1,611700,Educational Support Services,25-2053,"Special Education Teachers, Middle School",370,52000
99,U.S.,1,611700,Educational Support Services,25-2053,"Special Education Teachers, Middle School",350,51860
99,U.S.,1,611700,Educational Support Services,25-2054,"Special Education Teachers, Secondary School",130,47590
99,U.S.,1,611700,Educational Support Services,25-2054,"Special Education Teachers, Secondary School",860,54430
99,U.S.,1,611700,Educational Support Services,25-2059,"Special Education Teachers, All Other",690,72020
99,U.S.,1,621000,Ambulatory Health Care Services,25-2011,"Preschool Teachers, Except Special Education",880,31390
99,U.S.,1,621000,Ambulatory Health Care Services,25-2051,"Special Education Teachers, Preschool",690,53020
99,U.S.,1,621000,Ambulatory Health Care Services,25-2052,"Special Education Teachers, Kindergarten and Elementary School",1440,48900
99,U.S.,1,621000,Ambulatory Health Care Services,25-2059,"Special Education Teachers, All Other",480,41320
99,U.S.,1,621100,Offices of Physicians,25-2011,"Preschool Teachers, Except Special Education",130,36970
99,U.S.,1,621300,Offices of Other Health Practitioners,25-2059,"Special Education Teachers, All Other",310,39710
99,U.S.,1,621330,Offices of Mental Health Practitioners (except Physicians),25-2059,"Special Education Teachers, All Other",150,37580
99,U.S.,1,621340,"Offices of Physical, Occupational and Speech Therapists, and Audiologists",25-2051,"Special Education Teachers, Preschool",610,54940
99,U.S.,1,621400,Outpatient Care Centers,25-2011,"Preschool Teachers, Except Special Education",590,31120
99,U.S.,1,621400,Outpatient Care Centers,25-2052,"Special Education Teachers, Kindergarten and Elementary School",240,47890
99,U.S.,1,621400,Outpatient Care Centers,25-2059,"Special Education Teachers, All Other",170,45440
99,U.S.,1,621420,Outpatient Mental Health and Substance Abuse Centers,25-2011,"Preschool Teachers, Except Special Education",180,27560
99,U.S.,1,621420,Outpatient Mental Health and Substance Abuse Centers,25-2052,"Special Education Teachers, Kindergarten and Elementary School",150,50980
99,U.S.,1,621420,Outpatient Mental Health and Substance Abuse Centers,25-2059,"Special Education Teachers, All Other",70,45630
99,U.S.,1,621600,Home Health Care Services,25-2011,"Preschool Teachers, Except Special Education",100,25950
99,U.S.,1,622000,Hospitals,25-2011,"Preschool Teachers, Except Special Education",1170,30750
99,U.S.,1,622000,"Hospitals, Local government owned",25-2011,"Preschool Teachers, Except Special Education",50,29170
99,U.S.,1,622000,Hospitals,25-2021,"Elementary School Teachers, Except Special Education",50,56460
99,U.S.,1,622000,"Hospitals, Privately owned",25-2021,"Elementary School Teachers, Except Special Education",40,54030
99,U.S.,1,622000,Hospitals,25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",120,56450
99,U.S.,1,622000,"Hospitals, Privately owned",25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",80,53850
99,U.S.,1,622000,"Hospitals, State government owned",25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",40,61610
99,U.S.,1,622000,Hospitals,25-2051,"Special Education Teachers, Preschool",40,60850
